course_code,course_name,credits,subject_type
SODECAIII,SODECA-III,3,THEORY
ME3002,ME3002,3,THEORY
PC301,PC 301,3,THEORY
ME303,ME 303,3,THEORY
ME305,ME 305,3,THEORY
PC401,PC 401,3,THEORY
ME3003,ME3003,3,THEORY
ME3703,ME3703,3,THEORY
ME3705,ME3705,3,THEORY
ME301,ME 301,3,THEORY
ME351,ME 351,3,THEORY
PE403,PE 403,3,THEORY
ME3D02,ME3D02,3,THEORY
ME3D72,ME3D72,3,THEORY
AE1005,AE1005,3,THEORY
ME3702,ME3702,3,THEORY
ME3005,ME3005,3,THEORY
UCFV1,UCFV-1,3,THEORY
UC351,UC351,3,THEORY
EM401,EM 401,3,THEORY
ME407,ME 407,3,THEORY
SM401,SM 401,3,THEORY
DME305,DME305,3,THEORY
DME319,DME319,3,THEORY
AG301,AG301,3,THEORY
AG351,AG351,3,THEORY
ME3001,ME3001,3,THEORY
ME3701,ME3701,3,THEORY
ME405,ME 405,3,THEORY
ME453,ME 453,3,THEORY
ME3D01,ME3D01,3,THEORY
ME3D71,ME3D71,3,THEORY
DME303,DME303,3,THEORY
DME317,DME317,3,THEORY
AE1008,AE1008,3,THEORY
UC3002,UC 3002,3,THEORY
ME355,ME 355,3,THEORY
ME411,ME 411,3,THEORY
DME307,DME307,3,THEORY
DME321,DME321,3,THEORY
AE3001,AE3001,3,THEORY
ME3004,ME3004,3,THEORY
ME3704,ME3704,3,THEORY
ME3D03,ME3D03,3,THEORY
ME3D73,ME3D73,3,THEORY
ME313,ME 313,3,THEORY
PT303,PT 303,3,THEORY
ME3D75,ME3D75,3,THEORY
DEP301,DEP301,3,THEORY
AE3002,AE3002,3,THEORY
DIPLOMA,Diploma BS-1D01,3,THEORY
ME353,ME 353,3,THEORY
ME3D04,ME3D04,3,THEORY
ME3D74,ME3D74,3,THEORY
DME301,DME301,3,THEORY
DME315,DME315,3,THEORY
AE3004,AE3004,3,THEORY
AG365,AG365,3,THEORY
